library,api,approach,type_of_doc,important_part,target_test,unique_coverage,explanation,category,impact
tf,tf.math.multiply,api_rag_all,apidoc,"If x.shape is not the same as y.shape, they will be broadcast to a compatible shape. (More about broadcasting here.)","    def test_broadcasting_multiplication(self):
        # Test broadcasting with different shapes
        x = tf.constant([[1, 2, 3], [4, 5, 6]], dtype=tf.float32)
        y = tf.constant([1, 2, 3], dtype=tf.float32)
        result = tf.math.multiply(x, y)
        expected = tf.constant([[1, 4, 9], [4, 10, 18]], dtype=tf.float32)
        self.assertTrue(np.array_equal(result.numpy(), expected.numpy()))

    def test_broadcasting_last_dimension(self):
        # Test broadcasting on the last dimension
        x = tf.constant(5, shape=(1, 200, 175, 6), dtype=tf.float32)
        y = tf.constant(1, shape=(1, 200, 175), dtype=tf.float32)
        y = tf.expand_dims(y, axis=-1)
        result = tf.math.multiply(x, y)
        expected_shape = (1, 200, 175, 6)
        self.assertEqual(result.shape, expected_shape)

    def test_incompatible_shapes(self):
        # Test with incompatible shapes
        x = tf.constant([1, 2, 3], dtype=tf.float32)
        y = tf.constant([[1, 2], [3, 4]], dtype=tf.float32)
        with self.assertRaises(tf.errors.InvalidArgumentError):
            result = tf.math.multiply(x, y)","if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
return tf_fun(a, b) #UNIQUE#
dtype = a.dtype #UNIQUE#
if np.issubdtype(dtype.as_numpy_dtype, np.inexact): #UNIQUE#
  rtol_ = ops.convert_to_tensor(rtol, dtype.real_dtype) #UNIQUE#
  atol_ = ops.convert_to_tensor(atol, dtype.real_dtype) #UNIQUE#
  result = (math_ops.abs(a - b) <= atol_ + rtol_ * math_ops.abs(b)) #UNIQUE#
  if equal_nan: #UNIQUE#
return _bin_op(f, a, b) #UNIQUE#
return np_array_ops.all( #UNIQUE#
    isclose(a, b, rtol=rtol, atol=atol, equal_nan=equal_nan))","Broadcasting note in API doc motivated tests that exercise shape-promotion paths in TensorFlow, triggering the _bin_op dtype-promotion lines.",unique/complex input/parameters handling,high
tf,tf.math.multiply,api_rag_all,so_qnas,"x = tf.constant(5, shape=(1, 200, 175, 6), dtype=tf.float32)
y = tf.constant(1, shape=(1, 200, 175), dtype=tf.float32)
tf.math.multiply(x, y)","    def test_broadcasting_last_dimension(self):
        # Test broadcasting on the last dimension
        x = tf.constant(5, shape=(1, 200, 175, 6), dtype=tf.float32)
        y = tf.constant(1, shape=(1, 200, 175), dtype=tf.float32)
        y = tf.expand_dims(y, axis=-1)
        result = tf.math.multiply(x, y)
        expected_shape = (1, 200, 175, 6)
        self.assertEqual(result.shape, expected_shape)","if promote: #UNIQUE#
    a, b = np_array_ops._promote_dtype_binary(a, b)  # pylint: disable=protected-access #UNIQUE#
return tf_fun(a, b) #UNIQUE#","SO example with mismatched last-dimension shapes led directly to a test reproducing it, hitting broadcasting promotion code.",API usage sequences,high
tf,tf.math.multiply,api_rag_all,gh_issues,"outputs = tf.reduce_sum(tf.math.multiply(self.kernel, inputs), axis=-2)","    def test_basic_multiplication(self):
        # Test basic element-wise multiplication
        x = tf.constant([1, 2, 3], dtype=tf.float32)
        y = tf.constant([4, 5, 6], dtype=tf.float32)
        result = tf.math.multiply(x, y)
        expected = tf.constant([4, 10, 18], dtype=tf.float32)
        self.assertTrue(np.array_equal(result.numpy(), expected.numpy()))","return tf_fun(a, b) #UNIQUE#",Issue’s code snippet demonstrating simple tf.math.multiply encouraged inclusion of a vanilla element-wise multiplication test that still reaches the _bin_op wrapper.,standard use case,low
tf,tf.math.multiply,api_rag_issues,gh_issues,"outputs = tf.reduce_sum(tf.math.multiply(self.kernel, inputs), axis=-2)","    def test_broadcasting_multiplication(self):
        a = tf.constant([[1, 2, 3], [4, 5, 6]])
        b = tf.constant([1, 2, 3])
        result = tf.math.multiply(a, b)
        np.testing.assert_array_equal(result.numpy(), [[1, 4, 9], [4, 10, 18]])","  a = np_array_ops.array(a) #UNIQUE#
  reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1]) #UNIQUE#",Doc shows multiplying tensors with different shapes (`kernel` vs `inputs`); this inspired broadcasting-focused test that triggers the internal `tile` code paths and therefore covers the unique lines.,API usage sequences,medium
tf,tf.math.multiply,api_rag_issues,gh_issues,"return tf.math.multiply(cast, 1. / image.dtype.max, name=name)","    def test_broadcasting_multiplication(self):
        a = tf.constant([[1, 2, 3], [4, 5, 6]])
        b = tf.constant([1, 2, 3])
        result = tf.math.multiply(a, b)
        np.testing.assert_array_equal(result.numpy(), [[1, 4, 9], [4, 10, 18]])","  a = np_array_ops.array(a) #UNIQUE#
  reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1]) #UNIQUE#","Snippet multiplies a tensor by a scalar, hinting at shape-mismatch/implicit broadcasting and guiding generation of a broadcasting test that exercises the `tile` helper.",standard use case,low
tf,tf.math.multiply,api_rag_issues,gh_issues,"y_times_2 = tf.math.multiply(2., y)","    def test_scalar_multiplication(self):
        a = tf.constant(3)
        b = tf.constant(4)
        result = tf.math.multiply(a, b)
        self.assertEqual(result.numpy(), 12)","  a = np_array_ops.array(a) #UNIQUE#
  reps = np_array_ops.array(reps, dtype=dtypes.int32).reshape([-1]) #UNIQUE#","Example of multiplying with a scalar encouraged inclusion of basic scalar case; while not itself broadcasting, it pairs with vector/matrix cases that together activate `tile`.",standard use case,low
tf,tf.test.is_gpu_available,api_rag_sos,so_qnas,"For CUDA
[Docs](https://www.tensorflow.org/api_docs/python/tf/test/is_built_with_cuda)

```
import tensorflow as tf

tf.test.is_built_with_cuda()
```","    def test_is_built_with_cuda(self):
        # This test checks if TensorFlow is built with CUDA support
        is_built_with_cuda = tf.test.is_built_with_cuda()
        self.assertIsInstance(is_built_with_cuda, bool)",return _pywrap_util_port.IsGoogleCudaEnabled() #UNIQUE#,"SO answer shows direct use of tf.test.is_built_with_cuda, prompting the test that invokes the internal IsGoogleCudaEnabled line.",API usage sequences,high
tf,tf.test.is_gpu_available,api_rag_sos,so_qnas,"You can also use `tf.test.is_gpu_available()`. It says True if it detects the
available gpu.","    def test_is_gpu_available(self):
        # This test checks if the deprecated function returns a boolean
        try:
            is_available = tf.test.is_gpu_available()
            self.assertIsInstance(is_available, bool)
        except AttributeError:
            self.skipTest(""tf.test.is_gpu_available is deprecated and not available in this version of TensorFlow"")",return _pywrap_util_port.IsGoogleCudaEnabled() #UNIQUE#,"Doc snippet recommends tf.test.is_gpu_available; that call internally routes through is_built_with_cuda, reaching the unique IsGoogleCudaEnabled line.",API usage sequences,medium
tf,tf.test.is_gpu_available,api_rag_sos,so_qnas,"But still, when importing TensorFlow and checking `tf.test.is_gpu_available()`
gives me False.","    def test_deprecated_warning(self):
        with self.assertWarns(DeprecationWarning):
            tf.test.is_gpu_available()",return _pywrap_util_port.IsGoogleCudaEnabled() #UNIQUE#,Mention of deprecated is_gpu_available encouraged adding a warning-asserting test that still executes the function and hits the unique line.,standard use case,low
tf,tf.config.list_physical_devices,api_rag_issues,gh_issues,"import tensorflow as tf

physical_devices = tf.config.list_physical_devices(""CPU"")
for device in physical_devices:
    print(device)","    def test_list_all_physical_devices(self):
        """"""Test listing all physical devices.""""""
        devices = tf.config.list_physical_devices()
        self.assertIsInstance(devices, list)
        for device in devices:
            self.assertIsInstance(device, tf.config.PhysicalDevice)",_pywrap_determinism.enable(True) #UNIQUE#,"Issue snippet encouraged using tf.config.list_physical_devices; executing this call inside the generated test triggers TensorFlow’s internal determinism routine, covering the unique line.",standard use case,medium
